card_name,image_location,calories,fat,sugars,type,ingredients_1,ingredients,source,round,fake
Hostess Suzy Q's,hostess_suzyq,220,8.5,28,cake,CornSyrup,Eggs,non-locally sourced ingredients,,
Butterfinger,butterfinger,270,11,28,chocolate,Chocolate,Butter,non-locally sourced ingredients,,
White Castle Cheese Hamburgers,whitecastle_cb,320,17,3,food,Flour,Cheese,locally sourced ingredients,21,0
Soy Crisps Rich Cheddar Cheese,soycrisps_cheddar,120,4,1,chips,Soy,Cheddar,non-locally sourced ingredients,,
Twix Chocolate Cookie Peanut Butter,twix_pb,280,17,19,chocolate,Chocolate,PeanutButter,non-locally sourced ingredients,,
Snyder's Sourdough Nibblers,snyders_pretzel,100,0,1,nibblers,WheatFlour,PalmOil,locally sourced ingredients,,
Pretzel Flatz,pretzel_flatz,120,2,1,chips,WheatFlour,PalmOil,non-locally sourced ingredients,17,0
Strawberry shortcake rolls,strawberry_shortcake,240,9,30,cake,CornSyrup,Butter,non-locally sourced ingredients,16,0
Reese's BIG CUP peanut butter,reeses_bigcup,230,13,20,chocolate,Chocolate,PeanutButter,non-locally sourced ingredients,,
Snyder's Pumpernickel & Onion,pumpernickel_pretzels,130,3,0,nibblers,WheatFlour,CanolaOil,non-locally sourced ingredients,,
Alexia Onion Rings,onionrings,240,13,2,food,Oil,Onions,non-locally sourced ingredients,21,0
Goldfish Baked Cheddar,goldfish,150,5,1,nibblers,WheatFlour,Cheddar,locally sourced ingredients,,
Hostess Cupcakes Chocolate,hostess_cupcake,180,6,22,cake,CornSyrup,Chocolate,non-locally sourced ingredients,16,0
Double Decker Creme Pie,oatmeal_creampie,480,17,41,cake,Oats,Butter,locally sourced ingredients,16,0
Butterfinger stixx,butterfinger_stixx,90,4,9,chocolate,Flour,Chocolate,non-locally sourced ingredients,,
Reese's puffs cereal,reeses_puffs_cereal,160,4,16,cereal,Flour,Sugar,non-locally sourced ingredients,,
Cheezwhiz,cheezwhiz,90,6.93,2.21,dip,Whey,CanolaOil,locally sourced ingredients,,
Turkey Hill chocolate cherry ,chocolate_ic,100,0,17,icecream,Milk,Choclate,locally sourced ingredients,2,0
Haagen-Dazs Vanilla Bean,haagendazs_vanilla,290,18,26,icecream,Milk,Cream,locally sourced ingredients,2,0
M&M Ice Cream Sandwich,m&m_icsandwich,220,10,20,icecream,Choclate,Milk,non-locally sourced ingredients,6,0
Entenmann's Donuts,entenmanns_donuts,310,18,24,donuts,CornSyrup,Flour,locally sourced ingredients,,
Frootloops,frootloops,110,1,12,cereal,Flour,Sugar,non-locally sourced ingredients,,
Pecans ,pecan,684,71,3.9,nuts,Pecans,Sugar,non-locally sourced ingredients,,
Hot Pockets Calzone Italian,calzone,280,10,8,food,Flour,Butter,non-locally sourced ingredients,21,0
Smucker's Rasberry Jam,smuckers_raspberry,50,0,12,spread,CornSyrup,Sugar,non-locally sourced ingredients,,
Starburst,starburst,160,3.5,23,candy,CornSyrup,Sugar,non-locally sourced ingredients,,
Starbucks Coffee Ice Cream,starbucks_coffee_ic,250,13,26,icecream,Milk,Cream,locally sourced ingredients,2,0
Beaver Brownie,brownies_beaver,230,13,14,brownies,Chocolate,Milk,non-locally sourced ingredients,19,1
Monkey Brownie,brownies_monkey,180,14,28,brownies,Chocolate,Milk,non-locally sourced ingredients,19,1
Panda Brownie,brownies_panda,135,15,32,brownies,Chocolate,Milk,non-locally sourced ingredients,19,1
Hen Candy,candy_hen,79,1,22,candy,CornSyrup,Sugar,non-locally sourced ingredients,20,1
Leopard Candy,candy_leopard,119,0.5,13,candy,CornSyrup,Sugar,non-locally sourced ingredients,20,1
Pig Candy,candy_pig,155,0,18,candy,CornSyrup,Sugar,non-locally sourced ingredients,20,1
Fox Chocolate Bar,chocolatebar_arcticfox,350,11,33,chocolate,Chocolate,Sugar,non-locally sourced ingredients,7,1
Eagle Chocolate Bar,chocolatebar_eagle,210,8,25,chocolate,Chocolate,Sugar,non-locally sourced ingredients,7,1
Moose Chocolate Bar,chocolatebar_moose,170,17,42,chocolate,Chocolate,Sugar,locally sourced ingredients,7,1
Boar Cookie,cookies_boar,220,32,15,cookies,Flour,Sugar,non-locally sourced ingredients,1,1
Cow Cookie,cookies_cow,110,22,33,cookies,Flour,Sugar,non-locally sourced ingredients,1,1
Fox Cookie,cookies_fox,178,19.8,44,cookies,Flour,Sugar,locally sourced ingredients,1,1
Bear PB cup,pbcup_bear,199,23,11,chocolate,PeanutButter,Sugar,non-locally sourced ingredients,11,1
Elk PB cup,pbcup_elk,243,11,22,chocolate,PeanutButter,Sugar,non-locally sourced ingredients,11,1
Hedgehog PB cup,pbcup_hedgehog,400,9,34,chocolate,PeanutButter,Sugar,locally sourced ingredients,11,1
Donkey Popsicle,popsicle_donkey,78,3,17,candy,CornSyrup,Sugar,non-locally sourced ingredients,9,1
Goat Popsicle,popsicle_goat,33,3,23,candy,CornSyrup,Sugar,locally sourced ingredients,9,1
Reindeer Popsicle,popsicle_reindeer,45,3,45,candy,CornSyrup,Sugar,non-locally sourced ingredients,9,1
Elephant Protein Bar,proteinbar_elephant,178,16,26,bar,SoyProtein,Sugar,locally sourced ingredients,15,1
Squirrel Protein Bar,proteinbar_squirrel,228,13,33,bar,SoyProtein,Sugar,locally sourced ingredients,15,1
Tiger Protein Bar,proteinbar_tiger,300,13,45,bar,SoyProtein,Sugar,locally sourced ingredients,15,1
Cougar Popcorn,popcorn_cougar,150,13,8,popcorn,Corn,Butter,non-locally sourced ingredients,14,1
Owl Popcorn,popcorn_hornedowl,99,12,13,popcorn,Corn,Butter,non-locally sourced ingredients,14,1
Sheep Popcorn,popcorn_sheep,38,7,23,popcorn,Corn,Butter,non-locally sourced ingredients,14,1
Panther Potato Chips,potatochips_panther,111,34,15.9,chips,Potatoes,VegetableOil,locally sourced ingredients,4,1
Rabbit Potato Chips,potatochips_rabbit,236,45,29,chips,Potatoes,VegetableOil,locally sourced ingredients,4,1
Rooster Potato Chips,potatochips_rooster,346,12,45,chips,Potatoes,VegetableOil,locally sourced ingredients,4,1
Penguin Pretzels,pretzels_penguin,100,7,0,nibblers,Flour,Salt,non-locally sourced ingredients,3,1
Walrus Pretzels,pretzels_walrus,150,14,5,nibblers,Flour,Salt,locally sourced ingredients,3,1
Zebra Pretzels,pretzels_zebra,50,2,3,nibblers,Flour,Salt,non-locally sourced ingredients,3,1
Orangutan tortilla chips,tortillachips_orangutan,101,17,0,chips,Corn,VegetableOil,locally sourced ingredients,18,1
Bear tortilla chips,tortillachips_polarbear,330,23,3,chips,Corn,VegetableOil,non-locally sourced ingredients,18,1
Owl tortilla chips,tortillachips_snowyowl,250,33,5,chips,Corn,VegetableOil,locally sourced ingredients,18,1
Duck crackers,crackers_duck,99,12,0,crackers,Flour,SoybeanOil,non-locally sourced ingredients,8,1
Lion crackers,crackers_lion,84.3,9,1,crackers,Flour,SoybeanOil,non-locally sourced ingredients,8,1
Wolf crackers,crackers_wolf,150,4.5,2,crackers,Flour,SoybeanOil,locally sourced ingredients,8,1
