V1,uid,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
R_qUVXeLtqgpHPyIF,Wxu8k7df9yj4j6573,1,2,2,1,2,1,5,3
R_3nAG56Ub7Iaa2nB,8rkTWSowd8QnKYkrE,1,2,2,2,2,1,5,5
R_73wr0yXdua24YHT,m3PpL6WcoykRyE6pm,1,3,2,4,2,1,5,3
R_6h5XHZrimIhuIDz,c7KXKPxqoFftvbiRo,1,1,2,1,2,2,5,5
R_vMuaOQwIj5gmryV,nyhJYddWvp3BB3QQw,1,1,2,4,2,4,5,3
R_DHHHXqUAhwFvedr,Go273GW8uicZrCdSD,1,6,1,5,1,1,5,2
R_2Y9CXRqRAQiH7SG,qNdyGMJ35buHGrH8S,1,2,2,5,2,1,5,5
R_2rj58pPaUu9va5C,Yq2tfTdFxrtJJrtiK,1,1,2,1,2,4,5,5
R_3CIooCWi3EpKpc6,MxvzFzxhex6KtCcJv,1,2,1,4,2,1,5,5
R_Q69KPdBjpF9AYud,nn9r35Fnm3dt4Mwac,1,2,1,3,2,1,5,5
R_AGpN7tibmUz8ocp,B2ZCZF78M52DaYdRe,1,1,1,4,2,1,5,1
R_DxjPLt1RYjhSlix,qBC3M3KQn9vNCcPqE,1,2,2,3,2,1,5,5
R_cLKWTB2EYl6natr,q4HPxfuFegecSLdDp,1,3,1,2,1,1,5,3
R_2TZ8GePC44SKtbN,R7dYKeoHCd6LvxxqK,1,1,1,1,2,1,5,4
R_27mwV8PtihzbH3J,yZoeMgzGtaMeqaFnP,1,4,1,3,2,1,5,3
R_3NyNnRr4GZ3VANO,2EaSSMTDRTavgzxWY,1,2,2,2,2,1,4,5
R_23ayorbOKTS4RSE,rwmxw6YBuepteyj3w,1,2,1,4,2,1,5,3
R_0eLcb8CJxRa3cel,Ka7uwDPR6rD8fmrYq,1,2,1,3,2,1,5,3
R_xoapJZ5bvoHPfEd,79cjqjh3rhGT85Z35,1,2,2,2,2,1,5,3
R_2s1G7aP2YLTMods,wtSLbuDzbcFjvfDEf,1,2,1,3,1,1,5,5
R_RWw8Vm8S2jaWdhf,4XvrqMb3rbAWjM9KP,1,2,2,1,2,3,4,3
R_27vNTr1wIdm3J8A,tyLjuwcbAbuazEQiG,1,2,2,1,2,3,4,3
R_2tb3xMjHGCRU4UO,7xRX2G4qmuJFFpSPC,1,4,1,4,2,1,5,4
R_2rPh2nDMxtVY5fV,u469QjCESYfQpGHJC,1,3,2,5,2,2,5,3
R_3fOwk1XgowL0wu7,EsvySo9AtybDSYAs8,1,2,1,5,1,1,5,3
R_27fKtjMFCwuEExh,JRcAvo7ghDwhDZL84,1,2,1,4,2,1,5,5
R_1kLxGNwRpwAG0GF,MrGZ6mh63fudmqYDf,1,3,2,4,2,1,5,5
R_1mlPbkJo7cPGxhh,Lcmknpky6pFHN3tQu,1,1,2,4,2,1,4,5
R_3kdr5wUY5Twsy2d,5bASBojyYxYwsQXxd,1,1,1,1,2,4,3,5
R_bDXiAZdLw9e7nVv,YtSdEqNJzaQeCopij,1,2,2,4,2,1,5,3
R_3NFnRYs3EfNHFSe,6SEWxX7BWwdBNKtgP,1,1,2,5,2,1,3,3
R_qEpByTlUsXefmkp,AqpMTK8pfa3ZDgCnX,1,1,3,1,2,1,4,4
R_es5gsacxwBEnry1,CLtNCJghz2jZqxeK9,1,2,1,2,2,1,4,4
R_rlMCDH1s1OLrwQx,MyrQHPY3F4WLXmc5X,1,1,1,2,2,1,4,5
R_C7yd5ybhBLV6bst,9X4XtGJ2vhBNdtk2Y,1,1,1,2,2,1,4,5
R_2dQscmcVt68fGHR,z3zTMtRhkLDei8wuP,1,3,2,5,2,1,5,2
R_DVw4uVUqI3xblnj,5rJpwf7T6hoMg7kJL,1,1,1,1,2,1,3,4
R_1MZcUplfLow235M,YGJd65DmqYzQazNgB,1,2,1,3,2,1,5,4
R_phF06XKBt5504o1,EZGAsPJz5WzsYmfKM,1,5,2,5,2,1,5,3
R_1AAZRQ2p0KqUTo5,fhuLXXHqMQ5d8rDAn,1,1,1,5,2,1,6,4
R_3vZ4GQdfLwxs085,JMt66CesJw8ANNdAw,1,1,1,2,2,1,4,3
R_2hrpqEcyMXftzhj,Zf2LDGnBiXwStMjHd,1,2,1,1,2,1,5,5
R_2XijqCWGyeDVxon,QmvwaSmSW9vegKCLm,1,1,3,1,1,1,4,5
R_3Hk1mfnmUCK18ZM,u4ij2RsfoD2QLvBEb,1,3,1,3,2,1,5,3
R_3JLAh3LI4j30CAi,mMzbDo23w5dTrdSEk,1,3,2,3,2,3,5,3
R_2aVTHQm2IXcXzlW,mS6hdXuZGcRyKzZ6S,1,4,1,4,2,1,5,5
R_3h4TqZEhRzXqzOc,AwhQeCLDxEyvjTy3X,1,2,1,1,2,3,5,3
R_2eXLyZ8UkGn1Fdz,43rAun7MweDZDbiR5,1,7,3,5,3,4,6,5
R_29t7W7yBCceMhHk,zPcauKCwjaC6ZF2to,1,2,2,1,2,3,4,4
R_3oKOVkr6un0yZZC,YM8venxunpNq9B2xq,1,2,2,3,2,1,5,4
R_3rZekg4OUz0E2xj,bgy5jAMHTgznc4ux5,1,2,1,1,2,1,5,3
R_3Pb0Y1nYrqixN3F,Ejpy6KBYzEzY4XcBm,1,3,2,5,2,2,5,3
R_1Ibhq6YoG2hOGIC,no24mX6RndnhrbK2G,1,2,1,3,2,1,5,3
R_22V0IFluVEF5oj8,Bpj4sGSnkFdkCCxNf,1,2,2,2,2,1,4,4
R_1k05MKQVgqk9w0r,RjQgyeCowSqTymhY8,1,2,1,2,2,1,4,3
R_2tDJMupJIFME11U,rkKJDqbWkYmKu7exF,1,2,1,2,2,1,4,3
R_3ELmiLuHX18sgit,ptvCG2FEvcGE6NwA6,1,2,1,1,2,1,5,3
R_1NCUMaMc3Xle5rL,b3JmtzQJQgAcnZnYE,1,5,1,4,1,1,4,4
R_USGefY0btj7njEZ,6A43r9ZERAEEDbZ8E,1,2,1,2,1,1,4,5
R_2vcuhMFZMIBnyZL,XAgek4Txgcr6zNhkX,1,2,2,1,2,3,5,1
R_2QLHiOZBZ57rsGZ,dBkvJWWnppXkwvRnw,1,3,2,4,2,1,5,4
R_3P4WlKO6yuW4aao,2HF6FqEczphrX2Bid,1,2,2,2,2,3,5,4
R_daH1EycRhEiqqEF,XgZraYjGuDarzP3r7,1,1,1,2,2,1,5,2
R_1er6i2CehGC13XS,PqWLTxemD9c69esfF,1,2,1,1,1,1,5,3
R_2aawctJPGgF5RPk,Kphk9vHn5fT5EinHJ,1,1,1,2,2,1,4,4
R_3CHI7UdRQNMcsjb,za7LyLyEjai9LEXHc,1,1,1,5,3,1,3,4
R_3PhI4yrrqTZ3UWf,PmfEWQEeSM8RQm9sL,1,1,2,1,2,1,4,3
R_2dYcuFxSLYQqXcm,wZbv3M3dFcDzAi36e,1,2,2,3,2,4,5,1
R_3ptCEJeMvC1CfdK,LpifnQpyoAC96S573,1,2,1,3,2,1,5,3
R_3kkadCM16t2VaDe,pnco6QuR9SNdHu77x,1,2,1,5,2,3,4,3
R_1jNbkQNzeSaPuVA,xnnYT3aWf6eE4Q6y9,1,2,2,4,2,1,4,5
R_1PYutJJTeRznuvy,NLM74X7BawyDFny4v,1,2,2,3,2,1,5,3
R_1QuUrIyIm1V0pOx,DyGdnuktRvCnzAwJi,1,2,2,3,2,1,5,3
R_1rOEOkmMIceuIDV,XCDm5KKWWLKo82ig8,1,2,2,2,2,1,5,5
R_3nq1QYLdnhINJXH,usYEPKufrajuNF47i,1,4,2,4,2,1,4,1
R_3JfSGMPzjEvabwN,qrNAAeg7FP95EfroE,1,1,2,1,2,1,4,4
R_1NbuFIjXF1oc0Ht,K3ZMCWFyEZDHrTyJs,1,1,2,2,2,1,4,3
R_tGqIT1D2LZVzemJ,9n5EpvJB2WfCAocg2,1,1,1,1,2,1,4,5
R_BKyjRhmowBnZ2KZ,8RWtRBznZwaQXtTjy,1,2,1,3,2,1,5,3
R_3hASGgeFNBYAqYz,7pCqtPS3WupS8an42,1,2,1,2,2,1,5,3
R_3Mor4VYWXQhQ4l6,HzyJf3ecpepyFffL9,1,1,1,1,2,1,4,3
R_1OV2Wz9czdDKU0K,uCh2sApg2aoMeJKA8,1,1,2,1,2,1,4,4
R_ukxi7NtdkzYYaFX,TYLSC3JKidf2ijqLa,1,2,1,2,1,1,5,3
R_3jeeguNVEDXapFu,RMo96PZASrs7J7ShD,1,1,1,1,2,3,4,1
R_5jw5d4vDevHXJHX,zr6MbzW9igA4q3Bpk,1,2,1,1,2,1,4,3
R_2VDB4lySMyTuiXH,8AFCu9YsQmR2WDkrk,1,1,1,1,2,1,4,3
R_1qU3L89aBQqGLzy,FK4Hu9RZqcpEHNEsT,1,4,2,3,2,1,5,4
R_1jDhtKM3AN6YCxI,kzsfFDBTiA8Hm5zG8,1,4,1,4,2,1,4,3
R_10qPx3tOzcEtsxX,zBGtTaoT9NXXoiDCo,1,2,1,4,1,1,4,3
R_28GniXsxi8QiVsR,5FeAYE9ht2bBCK8Lk,1,2,1,5,2,3,5,3
R_06tqYREUkh3ci1r,ppT2KoixinaKc9zLD,1,2,2,3,2,3,4,4
R_2VI9rC1EV7inPIQ,J2cummHqPe6hMCzQa,1,2,1,3,2,1,5,3
R_1GJhpZgOnUpGOHl,TmShwF9bwp277DCmb,1,2,2,4,2,1,5,4
R_2D79MOsgAMCNoL8,XXfq2mbXgiwoevAzb,1,2,1,2,2,1,4,4
R_bBmimbEDQ0HcQjn,dnjt4zkQjoZRiipyw,1,2,1,1,1,3,5,3
R_3FR1VhS8qIJWQYN,A4p7aBR98rJFBJaEL,1,4,2,2,2,1,5,3
R_24u4qhJYuvyF8NY,BefdwBcYMvaHfGgwn,1,2,2,2,2,4,5,2
R_3nVQVsWyZmn6X7i,oD7a6GFkarvp84PRt,1,2,2,2,2,1,5,5
R_2Xjnnl0FibRFDKp,trErkp8jGhzNAdEsC,1,2,1,4,2,1,5,4
R_3fJd5YhibjAPsQm,Mm6MWtLtqb5mDhSje,1,5,2,3,2,1,4,1
R_2xJc9pOyaNM73EW,fQW4FvoD7YJtY65Xj,1,3,2,2,2,1,4,3
R_10YllqqeoW2OWsK,XjQr98bXFF7M3ndcy,1,2,2,4,2,1,4,4
R_24GibMj7Hwz2JD3,5TdrRvXeviEEB2782,1,4,1,4,2,1,4,4
R_1mfQEFchI5d5TfM,ozofPi8aj5tyaT4eg,1,5,1,3,2,1,3,4
R_2fjlqnrMqPK2iH0,gouSf322Wfbff39Ry,1,1,2,2,2,1,4,4
R_3fpZk5sbmAxLmqM,zHSLFZ2ThvDD5HYzx,1,2,1,3,2,1,4,4
R_3elbhk8P8XyDc3Y,CSbZRefTecFom3aXS,1,2,1,2,2,1,4,3
R_3EQfK0lDnP5cztn,nxAYw9WDEpZEActyW,1,2,2,4,2,1,5,4
R_2DTV8GJM2suuAnk,sRnsZm6AXGfuFXaBL,1,2,1,5,2,1,3,5
R_33B8zFgrvzLeo2s,EK5MKqzgwbKp4H3b3,1,2,1,3,1,1,5,3
R_1rPK4CP0NDN1MLE,qgdrKE9jGNxfQQS8Z,1,2,1,2,1,4,5,4
R_3ltvlxNfj2HRgRo,7WepedTffMwj4827y,1,2,2,4,2,1,4,4
R_3OlbJarCb3lEqr6,qXjSPCjisfJ95eEvt,1,1,2,2,2,1,5,5
R_2RXh5A068wggE2T,rzgwdpdiJDSxYGZnA,1,2,1,2,2,3,4,3
R_2SCSHU0O8Q4qj0s,yQZ2EpSJ96cnxs6xe,1,5,2,2,2,1,4,1
R_dpaye8APB8GPTjj,J4zEKsDmhBZRemQxx,1,3,1,2,2,1,3,4
R_2rjW7cetYhYi2GV,L4YKzb3s57NWd6NAv,1,4,1,5,2,1,4,3
R_1fmhesZ5QCDNrBI,H4f5GuygEFHZk35Nx,1,2,2,4,2,1,4,4
R_6Lu9iJBy3i8w0dH,3Scv4Lh7AfesJPwhd,1,2,1,2,2,3,5,1
R_1oGbGLXQnuCbG3v,eBK9ZbEMsYZr4qvN5,1,2,1,5,2,1,5,3
R_2YP6ESL0A9vdiEF,3JMeDjgsrTwoAgacu,1,3,2,2,2,1,3,4
R_2rknRwfbb7MaBsl,KM8aPtzLYKjy9Wd6r,1,2,1,2,1,1,4,5
R_1pT1Qtll0XesLCu,BynvkWSwo2taRoXrX,1,2,1,2,1,1,5,4
R_265yGcYIfUb8LRq,Wsfum3agWhXQX8CXx,1,2,1,4,2,1,5,3
R_2PArswLpVhhFCf8,wLGnCDxPy8oExZXAx,1,2,1,1,2,1,4,5
R_331KwvDFAaa1cHf,Zni6Soax4z3GW8Df2,1,2,1,3,2,1,4,4
R_uelI7mDL8rgY4Fj,Q8rabz9pmuEnvSaoN,1,1,1,3,2,1,4,4
R_d7on9dEzUOKmQh7,MXzThn8PokRb4ock5,1,2,1,2,2,3,5,2
R_NWpYrWklsATDcNb,XEFQSfMA4Np9cuPw7,1,1,1,1,2,3,5,4
R_1n2dSc1Diog58HU,db7vBSrm7682SAdgu,1,2,2,2,2,1,5,4
R_2BlHf2kDpjTNGgZ,MLprm4ekjizDLDG2S,1,2,1,3,1,1,5,3
R_2cduzEdfvL7LB7R,qTogdieYhMcvruSAz,1,2,1,2,2,1,3,3
R_1o6Fiwn5cqj0oE9,z5RvEc5BoDxBiH3iy,1,3,1,1,2,1,4,5
R_1rGOS2fezJZlE4B,kr7Pu2RZwAfTs2CKX,1,3,2,3,1,1,4,5
R_1ewW1Yzh6RsfvqW,KhryLZQ5TvoZre7Wq,1,3,1,3,2,1,3,4
R_2PzjUUnJN2RK7Lm,ZB5o3tfWNxeqjrk9A,1,2,2,2,2,1,4,3
R_2ASyE6ZEXNkiaTy,SPtAAc7NJbzx6HGnv,1,2,1,2,1,1,5,4
R_2XbQtTwzgV6rUcI,RiaXcXZD8EMe3D675,1,2,2,4,2,1,4,4
R_2txs8EGUZm6SSQ2,WWN5DFC5NTCBf5mzm,1,3,2,2,2,1,4,5
R_2YJtbLT2hRYhT4n,cLfpHqBMQyBqJmqZN,1,2,2,2,2,1,4,4
R_3PLgvKrM0wPtM5y,RRGteZxa2sZLjy7tF,1,3,2,2,2,1,4,4
R_2v2CqtoaK22Nk7i,kErKZoNcgLDEQLh9h,1,3,1,4,2,1,3,5
R_0oYZJgh5tgXzeUN,ANpFmJSXtcMZLsKb7,1,2,1,5,2,1,4,3
R_2UfsbtfmeSl0wZi,MWawPm7rihwQdSfEc,1,5,1,2,2,1,3,4
R_2rw5MjtRBWZr3rN,CpCwPvRPuXbcP6cz2,1,3,2,2,2,1,4,4
R_2wFt3fo5ldPmJ0k,wGaSKjvm4o49LhLrg,1,4,2,1,2,1,3,4
R_24Ga4fh9g2cPVxm,4KFh6N3nNwuJAz9bM,1,3,1,1,2,1,5,3
R_2bGqvwQ2ek8KLaJ,2EXM3D2Y33A7MB3o7,1,2,1,2,2,3,5,4
R_12beJOCikCMsS5r,xPohAATJY45H5Nmhy,1,2,2,1,2,1,4,4
R_25TrHqgFNs4z3W9,MLNEv85tZLCBBPkBJ,1,4,2,2,2,1,4,5
R_1OxdLMZxksCqUjZ,yqvi6AycizdfMW67J,1,2,2,2,2,1,3,5
R_2D65hxyxZGBokzi,GBR5Ti7uHcvswPGew,1,4,1,1,2,1,4,4
R_1CdO79jrlQWkzI5,2sTmttj6NkHQFsJLd,1,2,2,2,2,1,4,4
R_Zy0tTcdsj0Dsb3r,xM423TEd4E3xpgssf,1,2,1,3,2,3,5,1
R_1I7byGVP1c2SurW,JJ5EnHryZ8c2oGQCB,1,3,1,2,1,1,3,4
R_WlK5Q77mgN5gCBj,n57DFjukqiJmSHEDQ,1,4,1,2,2,1,4,4
R_273wkyxpoXdXZP2,DjhvjjCAx4ASj2o8R,1,3,2,3,2,1,4,3
R_24Cc9wMIKMc0ICY,zsJhRyaRoAYMth497,1,4,1,1,2,1,5,4
R_BKACRX7ULhD1cJP,SJfYbZhnHTBay5yyX,1,4,2,4,2,1,4,3
R_1OAXAL2rDyUWgHD,L9LpdeQFGzvFngGYS,1,4,1,3,2,1,4,4
R_ABrpmPzG5oM4fRv,qifugRh7PhFJPpCmX,1,1,1,2,2,1,5,3
R_2eVdCLRPFHJS61m,cWth44wpGS4qP2Yub,1,2,2,4,2,1,5,3
R_1GK3KfoIobQPTKE,uHwSGkE8yothku3Pp,1,2,2,4,2,3,5,3
R_3Lin9ZBKR81MIxb,RaYmHiYD8f6gFQQ7b,1,3,1,2,2,1,4,3
R_Y5NjoNNjkwGPfDr,cSZYtAZP8JYGj5YJm,1,2,1,1,2,1,3,3
R_3M39SppoPAPNmW3,E3NcHz7W573rHYeyY,1,2,1,3,2,1,4,4
R_1HUjBrxI92Rud33,KgZMYh23LzaJQn9xQ,1,2,2,3,2,1,4,4
R_3R8dmZCymqJE3mE,TRHpDyjtFJ4Bf98dL,1,1,1,2,2,1,4,4
R_cTSMhg9AaxTnEU9,XsvK4NT3Nh5wjR8En,1,3,2,2,2,1,3,4
R_21FKglYUdIsDoZz,7Rn59QWiRLMAcySTj,1,2,2,2,2,1,4,5
R_a8W7QqPrD1v4Y5X,oWHGBei3dY4SjyLpw,1,3,1,4,2,1,5,3
R_2WOMLebZsSQUhl8,vHTKf9kPuCEvY8Fb8,1,2,2,2,2,1,4,5
R_2PARpJmGK0poNOU,ZNHoLFfThXn3dxpiE,1,2,2,2,2,1,4,1
R_2qt11A6KNNh4fmP,NvQHkQfCNThsLfjfy,1,4,2,2,2,1,4,5
R_PBccXiObWbCCHQZ,8nBmn9tiXEPEpabJq,1,3,2,3,2,1,4,5
R_1Q9tnhc7ZcUb1Ci,bWNtxPkGd8xNqDf2H,1,2,2,2,2,1,4,4
R_tPSrXCwjwMqL9XX,Af6EwezJnoFReEpua,1,2,1,1,2,1,3,4
R_1jy0S4ctImUBxSY,BNHYtgF3y6oE5Z7KQ,1,1,2,1,2,1,3,4
R_2RUQFCmsQRopDOs,yYx4x55HrFLHFahMb,1,3,2,3,2,1,4,5
R_3EiiU86zmQva0Qj,5eAZsM6sSPgLp2AGc,1,1,2,1,2,1,4,4
R_3h3CHbEKYwOi9Ks,MYDbh5c4b3ziMKmbt,1,3,2,3,2,1,5,3
R_32IWOeLFg4Am5ql,QzQ7qWvZvRxG3DTiQ,1,2,1,2,2,1,3,4
R_9poWYTeTUP4iFVf,MA2uPdyzNp9BQAqer,1,2,2,3,2,1,5,5
R_1jv5zfFaaOSWj1e,JzmhwhLyzer2RAe6v,1,1,1,3,2,1,4,4
R_2RWVL8wZIkLfZC2,udy3MprwBQ5HiyMCT,1,1,2,1,2,1,3,5
R_1I6HbizbMNpxdPI,QFG552t36L3EZH7Jy,1,4,1,3,2,1,4,4
R_3MQmzObPUTwIWD0,pJmeMQeWgG5t6W9qP,1,1,1,2,1,1,3,4
R_1hVWA5ClkKnHNaC,ShADd3RgtYRfwa2MZ,1,3,2,2,2,1,4,5
R_Rf9iRfnIqPLRF17,jDE43c8DM6a8vfhLt,1,2,1,4,1,1,4,4
R_1onjal96fq89ySk,LcANkd9aNJ5k5m36D,1,2,1,2,2,1,4,3
R_1QXbT7wosW7MhKV,btruDZRTdLHpSMw8Z,1,1,2,2,2,1,3,3
R_3M39OhMvaWo4bOF,kfECEEcmNpeJczEMF,1,2,1,3,2,1,4,4
R_3nOA7h4RrTqfbEc,k3GpWCr7PFT6C8hp7,1,2,2,5,2,1,4,5
R_3HYLJadAfC6a32z,naXyBAkcHQnvmWAq2,1,2,2,3,2,1,5,5
R_prQM0eNwpJlzlSh,AQxTawn2raLNgqZ3P,1,1,1,1,2,1,4,4
R_wMHsIKIMJoy67oR,5myTGNQJvs2WKRHzh,1,3,1,4,2,1,4,4
R_2ScvbedYE8oE3cr,65rkkh9mvCWJswXdW,1,4,1,1,2,1,4,4
R_30jiq2sMUkOvud9,DE4yEJwaXQHEzKcQa,1,1,1,3,2,1,4,3
R_20P8y2DCuWIN5vV,uiWHRDoF5BGb4wL2S,1,3,1,4,2,1,3,5
R_3Gy8p5GrSwSyTvK,gMminThzBtZJ7uSsx,1,4,1,2,2,1,4,3
R_2zl1i0uADz2qDcj,eCXK2ArfS3criAJTB,1,2,1,2,2,1,4,3
R_x6glXcQEQmrLpyV,qSx3DCWftYj2wsCyv,1,2,2,3,1,1,4,4
R_3NDKWQKbTWxfXAQ,e3qn8csAYTbHfMxkK,1,2,2,2,2,1,3,5
R_2VxcpddZMwuxXnT,46jJ5bQRXvenhFmTb,1,1,2,2,1,1,4,4
R_2QGycircxsR1jSp,JYCXAYdtPkWscrdLB,1,3,1,2,2,1,5,4
R_riOjynoPedRPBYt,47GQnCY9tKY6QcziM,1,4,2,2,2,1,5,3
R_1cTfp6D4eHa9Xob,e39vqG226v3BajR5r,1,2,1,2,2,1,4,4
R_1g0X4p0HP0CX7Ge,9ywHQR3mBPMwFxoz9,1,2,2,4,2,1,5,1
R_e3WcFYehiowMmmB,JSbt6gZfMo7joBzGv,1,2,2,4,2,1,4,4
R_r3ymY1EIfKi3xfz,jfQvpyg84WrSgRNqv,1,4,2,1,2,1,4,3
R_1r7eXeTZ2QH0Fa7,q7T5qjCJmLKiFDM7B,1,2,1,1,2,1,4,5
R_3hsifq33rRrY2Om,r7ouGiTYscdMz7S96,1,3,2,1,2,1,3,4
R_SVkCSyvVz2Qq67n,CBqTRZWRzXAgfN9Yy,1,4,1,1,2,1,4,4
R_3Eu3VOFNDzOkzUK,Ny9gao85Xj9EsukBG,1,2,2,2,2,1,4,5
R_RUIYVHQXgY3MWjv,Rj9tu78F5w6w3X4H6,1,1,1,2,2,1,3,3
R_1rlbLmEhC560A7A,PDvjktHFMxvmMiCXZ,1,3,1,1,2,1,4,4
R_2b2z22gqVc40CJs,yqM2BRFq8ZRfjjLkq,1,3,1,1,2,1,4,4
R_2vd1FX3LAgFjBmg,sffrXtuXr5TiAB4mp,1,2,2,2,2,1,4,5
R_8CkWGUalbGijYwp,EKWRiN76o86oB7anS,1,3,1,2,2,1,3,5
R_1Fr1GjGa0qJYgdo,WPYRr5aobwBj73DEK,1,2,1,2,2,3,4,4
R_1oaRN1h2xdGn35i,Qqh6muXhTuf3GrNiT,1,2,1,1,2,1,3,4
R_2febrJg471TwyAV,uaKgcq3eKvpoHhiRp,1,3,1,4,2,1,5,3
R_CkmJOG6Kq7E3yQF,PxTtMMdoKkhi9R3EA,1,2,2,3,2,1,4,5
R_1DvF4ZSOla2fPW9,P3KQ9YkjZxt4RLM8n,1,3,2,2,2,1,3,5
R_1OoRLOKOcMTI6Wr,w7iHdtHuvS62tpX9A,1,2,2,2,2,1,3,5
R_2zXQWG69B7QjEkC,2uka6dm2y2BiZJ2zv,1,2,1,2,2,1,5,5
R_3lPRiWj9QWKu1ru,yGMwpC8mFpdaBHsxc,1,2,1,2,2,1,4,3
R_1OCgZQfrWBtFpcA,veJrsxDb3LXrES4xG,1,2,2,3,2,1,4,4
R_2wnThLclnYQ2E6h,uSMjBeZWWWbr389eX,1,1,2,1,2,1,4,5
R_2wnshwMKB47xRap,L4ym7sk99zbs7SpRS,1,3,1,2,2,1,4,4
R_265BB3emtDnLNFR,tDQkgwFiLneeqykeP,1,5,2,1,2,1,3,4
R_yKDHTM21w5s8gzT,DJkv5Fv9S4kWNyB3h,1,3,2,2,2,1,4,4
R_R4FP43lywH088Zb,8LxJGcCiZ4Qc6jQuJ,1,2,1,1,2,1,3,3
R_3ebhOqqAnhBidgK,sd2kFccpmJrtKtWXt,1,4,1,2,2,1,3,3
R_5uTbExzu7Osqcb7,NfD5PKGzZSHiMziDZ,1,2,1,1,2,2,5,3
R_2wQYd4EfRs8Fmyq,sXZRJJZZ4ukn5Rhsa,1,1,1,2,2,1,4,3
R_2ARnCByJWFbYG7k,mhWeQdWa9FaKczAnW,1,2,2,3,2,1,5,5
R_2f3UOoDosXTnXn6,KtmBDbHyRWmxF3pSe,1,2,2,4,2,4,4,1
R_2ePYRrGwjtAoWrs,6puo2keQXS7qFE8Gt,1,2,2,4,2,3,5,3
R_1daBoVyP7oRETqh,C8ZZyaoAKK74u5sYq,1,2,2,3,1,1,4,3
R_88oRRFE16nYHylH,NEBKBc4v4z22JjHsM,1,3,1,2,2,1,5,3
R_2EcUWfOK6Ctx2kF,9et3SfHGXPybDEQvA,1,2,1,4,2,1,5,4
R_0oZoRsL4UmtDOI9,oGuqYqwecaoGdrfsx,1,1,2,1,2,1,4,3
R_3xA7ZmH1ziYlF2p,TH67zwuruBitqZ7cz,1,2,1,5,2,1,5,3
R_2zZL97lfLRyLjfO,JawGa9dPJptKCjrCW,1,2,1,2,1,1,5,4
R_3HSIw5w3JQN3C0Z,dC92XDi5WvMMhu33h,1,2,1,2,2,1,5,3
R_1M3W4iGH2znoNrJ,jFJJMNpjqg3TTB3vH,1,3,2,2,2,4,5,1
R_1kSvdPMTOfsxc2m,FabgofoobENKgqNNf,1,2,1,1,2,1,4,5
