V1,uid,Q9_1,Q9_2,Q10_1,Q11,Q11_TEXT,Q12,Q12_TEXT,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11
R_cLKWTB2EYl6natr,q4HPxfuFegecSLdDp,2,2,2,2,,3,,4,7,6,4,6,7,5,3,7,7,2,7
R_2TZ8GePC44SKtbN,R7dYKeoHCd6LvxxqK,2,2,3,2,,9,I eat small snacks all day instead of large meals,4,7,4,4,7,1,1,5,2,7,4,6
R_27mwV8PtihzbH3J,yZoeMgzGtaMeqaFnP,2,2,2,2,,3,,4,7,7,4,7,2,2,7,7,6,6,5
R_3NyNnRr4GZ3VANO,2EaSSMTDRTavgzxWY,2,2,2,2,,7,,4,7,7,6,6,6,5,3,6,5,3,3
R_23ayorbOKTS4RSE,rwmxw6YBuepteyj3w,1,2,3,3,,3,,4,3,7,7,7,4,4,4,5,3,3,7
R_0eLcb8CJxRa3cel,Ka7uwDPR6rD8fmrYq,1,3,3,2,,5,,4,5,6,4,6,4,1,3,5,3,2,6
R_xoapJZ5bvoHPfEd,79cjqjh3rhGT85Z35,3,3,2,1,,1,,4,7,7,5,6,7,1,1,7,6,1,6
R_2s1G7aP2YLTMods,wtSLbuDzbcFjvfDEf,2,2,2,2,,6,,4,7,7,5,7,4,5,6,7,6,2,7
R_RWw8Vm8S2jaWdhf,4XvrqMb3rbAWjM9KP,2,3,1,3,,4,,4,6,6,7,7,7,1,3,5,7,7,3
R_27vNTr1wIdm3J8A,tyLjuwcbAbuazEQiG,2,3,1,3,,4,,4,4,7,7,7,7,1,4,4,7,7,2
R_2tb3xMjHGCRU4UO,7xRX2G4qmuJFFpSPC,2,4,2,2,,3,,4,7,5,6,4,5,1,2,7,6,1,7
R_2rPh2nDMxtVY5fV,u469QjCESYfQpGHJC,3,3,2,1,,6,,5,2,5,5,6,5,2,6,6,7,2,2
R_3fOwk1XgowL0wu7,EsvySo9AtybDSYAs8,2,2,2,2,,5,,4,7,6,4,6,6,2,1,7,6,4,4
R_27fKtjMFCwuEExh,JRcAvo7ghDwhDZL84,1,3,2,3,,4,,4,7,7,6,6,6,1,1,2,7,1,5
R_1kLxGNwRpwAG0GF,MrGZ6mh63fudmqYDf,1,1,4,5,,9,"I say I ""snack,"" but in reality it is a series of small meals (6-8)",4,5,2,4,5,2,2,2,6,3,2,7
R_1mlPbkJo7cPGxhh,Lcmknpky6pFHN3tQu,2,4,2,2,,5,,4,6,2,4,6,4,2,1,1,2,1,3
R_3kdr5wUY5Twsy2d,5bASBojyYxYwsQXxd,2,4,3,1,,8,,4,7,6,4,7,7,6,7,2,5,2,6
R_bDXiAZdLw9e7nVv,YtSdEqNJzaQeCopij,2,2,3,2,,3,,4,7,4,4,5,4,5,6,7,2,2,6
R_3NFnRYs3EfNHFSe,6SEWxX7BWwdBNKtgP,1,4,3,2,,8,,4,7,6,6,6,6,2,4,7,7,4,7
R_qEpByTlUsXefmkp,AqpMTK8pfa3ZDgCnX,3,3,1,2,,1,,4,6,6,5,5,4,3,4,4,6,4,5
R_es5gsacxwBEnry1,CLtNCJghz2jZqxeK9,2,3,2,2,,5,,4,7,5,6,6,1,1,3,4,2,2,1
R_rlMCDH1s1OLrwQx,MyrQHPY3F4WLXmc5X,2,3,2,1,,7,,4,6,6,7,6,7,4,7,5,7,5,2
R_C7yd5ybhBLV6bst,9X4XtGJ2vhBNdtk2Y,3,4,1,2,,8,,4,6,5,7,6,4,3,6,7,7,2,4
R_2dQscmcVt68fGHR,z3zTMtRhkLDei8wuP,2,4,2,2,,2,,4,7,6,3,7,7,1,2,7,7,7,7
R_DVw4uVUqI3xblnj,5rJpwf7T6hoMg7kJL,2,2,3,1,,6,,4,5,7,6,6,6,6,7,7,7,6,4
R_1MZcUplfLow235M,YGJd65DmqYzQazNgB,2,2,2,5,,6,,4,7,5,5,4,4,5,7,5,5,5,3
R_1AAZRQ2p0KqUTo5,fhuLXXHqMQ5d8rDAn,2,2,2,2,,6,,4,7,6,6,6,6,6,6,5,5,5,2
R_2XijqCWGyeDVxon,QmvwaSmSW9vegKCLm,2,2,2,2,,9,The munchies,4,7,5,2,6,4,1,7,6,6,1,4
R_3Hk1mfnmUCK18ZM,u4ij2RsfoD2QLvBEb,2,5,3,2,,6,,4,7,6,5,7,3,1,1,7,7,6,7
R_3h4TqZEhRzXqzOc,AwhQeCLDxEyvjTy3X,2,3,3,2,,3,,4,7,7,7,7,2,7,7,6,7,6,6
R_2eXLyZ8UkGn1Fdz,43rAun7MweDZDbiR5,5,5,1,6,,9,,5,7,7,7,7,7,7,7,7,7,7,7
R_3oKOVkr6un0yZZC,YM8venxunpNq9B2xq,1,1,4,5,,4,,4,7,4,5,4,2,2,3,6,4,1,4
R_3rZekg4OUz0E2xj,bgy5jAMHTgznc4ux5,4,3,1,1,,2,,4,7,7,7,6,7,1,5,7,4,4,7
R_1Ibhq6YoG2hOGIC,no24mX6RndnhrbK2G,2,4,2,1,,3,,4,3,6,5,5,4,2,3,4,4,2,4
R_22V0IFluVEF5oj8,Bpj4sGSnkFdkCCxNf,3,4,1,1,,2,,4,6,7,5,7,7,7,7,7,7,6,2
R_1k05MKQVgqk9w0r,RjQgyeCowSqTymhY8,4,4,1,1,,1,,4,7,7,7,6,6,4,2,7,7,5,6
R_2tDJMupJIFME11U,rkKJDqbWkYmKu7exF,4,4,1,1,,1,,4,7,6,7,6,6,7,7,7,7,7,6
R_3ELmiLuHX18sgit,ptvCG2FEvcGE6NwA6,1,1,4,1,,7,,4,7,6,5,6,2,1,4,5,3,1,5
R_1NCUMaMc3Xle5rL,b3JmtzQJQgAcnZnYE,2,4,3,2,,3,,4,5,5,4,6,4,1,1,5,2,1,5
R_USGefY0btj7njEZ,6A43r9ZERAEEDbZ8E,2,2,3,2,,5,,4,6,4,7,7,7,3,6,7,7,4,5
R_2vcuhMFZMIBnyZL,XAgek4Txgcr6zNhkX,3,4,2,2,,8,,4,7,7,7,6,7,6,7,7,7,6,5
R_2QLHiOZBZ57rsGZ,dBkvJWWnppXkwvRnw,2,4,3,3,,3,,4,7,5,5,7,6,1,2,5,7,6,7
R_3P4WlKO6yuW4aao,2HF6FqEczphrX2Bid,3,3,2,2,,2,,4,6,6,4,7,5,4,5,5,5,4,4
R_daH1EycRhEiqqEF,XgZraYjGuDarzP3r7,2,2,2,1,,7,,4,6,5,6,6,4,6,6,6,5,5,5
R_1er6i2CehGC13XS,PqWLTxemD9c69esfF,3,4,1,1,,3,,4,7,6,6,6,4,2,1,7,6,4,7
R_3CHI7UdRQNMcsjb,za7LyLyEjai9LEXHc,1,1,4,2,,7,,4,6,4,4,6,3,4,7,6,7,4,6
R_3PhI4yrrqTZ3UWf,PmfEWQEeSM8RQm9sL,2,3,3,2,,3,,4,3,5,7,7,4,5,3,3,3,6,6
R_2dYcuFxSLYQqXcm,wZbv3M3dFcDzAi36e,1,1,3,2,,5,,4,6,6,6,5,4,2,2,4,6,2,4
R_3ptCEJeMvC1CfdK,LpifnQpyoAC96S573,1,3,3,1,,7,,4,7,7,6,7,4,2,2,7,6,4,6
R_3kkadCM16t2VaDe,pnco6QuR9SNdHu77x,1,2,2,2,,6,,4,7,7,2,6,7,1,7,5,5,3,5
R_1jNbkQNzeSaPuVA,xnnYT3aWf6eE4Q6y9,1,5,2,1,,3,,2,2,1,6,6,6,2,7,7,7,1,1
R_1PYutJJTeRznuvy,NLM74X7BawyDFny4v,2,4,2,2,,3,,4,7,6,7,7,5,2,2,6,2,1,2
R_1QuUrIyIm1V0pOx,DyGdnuktRvCnzAwJi,2,4,2,2,,2,,4,7,6,6,7,3,2,2,4,5,2,1
R_1rOEOkmMIceuIDV,XCDm5KKWWLKo82ig8,3,4,1,2,,1,,4,7,5,6,5,6,4,6,5,5,6,4
R_3nq1QYLdnhINJXH,usYEPKufrajuNF47i,2,5,2,2,,8,,4,7,4,6,7,5,2,5,4,6,3,7
R_1NbuFIjXF1oc0Ht,K3ZMCWFyEZDHrTyJs,2,4,2,2,,4,,4,7,4,5,6,7,2,6,7,6,4,7
R_tGqIT1D2LZVzemJ,9n5EpvJB2WfCAocg2,3,4,1,2,,1,,4,2,6,5,6,6,2,3,4,4,4,6
R_BKyjRhmowBnZ2KZ,8RWtRBznZwaQXtTjy,3,5,2,1,,1,,2,6,7,7,7,6,2,2,5,3,2,7
R_3hASGgeFNBYAqYz,7pCqtPS3WupS8an42,3,4,1,1,,1,,4,7,4,4,7,4,1,1,1,6,2,5
R_3Mor4VYWXQhQ4l6,HzyJf3ecpepyFffL9,2,3,2,1,,8,,4,7,4,4,6,5,3,3,6,6,3,6
R_ukxi7NtdkzYYaFX,TYLSC3JKidf2ijqLa,1,2,3,2,,5,,4,7,6,6,7,2,1,1,6,1,2,6
R_3jeeguNVEDXapFu,RMo96PZASrs7J7ShD,2,3,3,2,,3,,4,7,5,4,7,6,1,2,2,6,7,1
R_5jw5d4vDevHXJHX,zr6MbzW9igA4q3Bpk,1,2,2,1,,3,,4,6,3,6,5,2,4,4,7,6,5,2
R_2VDB4lySMyTuiXH,8AFCu9YsQmR2WDkrk,1,5,2,2,,5,,4,7,6,6,6,6,2,2,7,5,4,5
R_1qU3L89aBQqGLzy,FK4Hu9RZqcpEHNEsT,3,5,1,1,,1,,4,1,5,7,6,5,2,7,7,4,4,3
R_1jDhtKM3AN6YCxI,kzsfFDBTiA8Hm5zG8,1,1,3,1,,3,,4,7,6,6,7,1,1,7,7,7,2,3
R_10qPx3tOzcEtsxX,zBGtTaoT9NXXoiDCo,3,1,3,2,,6,,4,7,7,7,6,1,3,7,7,7,7,7
R_28GniXsxi8QiVsR,5FeAYE9ht2bBCK8Lk,1,3,2,1,,6,,4,7,6,4,6,4,1,4,4,2,3,6
R_06tqYREUkh3ci1r,ppT2KoixinaKc9zLD,2,3,4,1,,9,snacking is a good distraction away from work/studying,4,4,6,7,6,4,2,6,6,5,6,6
R_2VI9rC1EV7inPIQ,J2cummHqPe6hMCzQa,2,4,2,2,,3,,4,6,4,6,7,6,2,3,6,5,4,5
R_1GJhpZgOnUpGOHl,TmShwF9bwp277DCmb,2,4,3,2,,3,,4,6,7,6,7,6,4,3,4,7,3,7
R_2D79MOsgAMCNoL8,XXfq2mbXgiwoevAzb,1,3,3,2,,5,,4,7,7,5,7,5,1,2,6,7,6,5
R_bBmimbEDQ0HcQjn,dnjt4zkQjoZRiipyw,2,4,1,2,,5,,4,6,7,3,6,1,1,3,7,7,2,4
R_3FR1VhS8qIJWQYN,A4p7aBR98rJFBJaEL,2,3,2,3,,5,,4,6,5,7,6,5,1,1,1,5,1,6
R_24u4qhJYuvyF8NY,BefdwBcYMvaHfGgwn,2,2,2,2,,7,,1,1,6,5,5,6,4,4,7,5,3,3
R_3nVQVsWyZmn6X7i,oD7a6GFkarvp84PRt,4,4,1,1,,1,,4,6,7,7,7,7,1,1,7,7,2,5
R_2Xjnnl0FibRFDKp,trErkp8jGhzNAdEsC,1,2,3,1,,6,,4,7,1,1,6,6,4,7,6,7,2,2
R_3fJd5YhibjAPsQm,Mm6MWtLtqb5mDhSje,1,3,3,1,,7,,4,7,5,6,7,7,6,7,7,7,7,1
R_2xJc9pOyaNM73EW,fQW4FvoD7YJtY65Xj,3,5,2,2,,1,,4,2,6,7,7,6,1,2,6,5,2,2
R_10YllqqeoW2OWsK,XjQr98bXFF7M3ndcy,2,2,3,2,,6,,4,7,7,6,4,1,5,7,3,7,7,2
R_24GibMj7Hwz2JD3,5TdrRvXeviEEB2782,3,4,2,2,,5,,4,6,5,7,7,6,4,2,6,5,5,7
R_1mfQEFchI5d5TfM,ozofPi8aj5tyaT4eg,2,2,3,2,,5,,4,7,4,7,7,4,3,3,7,6,4,5
R_2fjlqnrMqPK2iH0,gouSf322Wfbff39Ry,3,4,1,1,,1,,4,3,7,7,7,7,1,1,1,7,2,2
R_3fpZk5sbmAxLmqM,zHSLFZ2ThvDD5HYzx,3,2,3,2,,6,,4,6,4,4,7,4,1,5,5,5,1,2
R_3elbhk8P8XyDc3Y,CSbZRefTecFom3aXS,4,4,2,2,,1,,4,5,5,7,6,7,7,7,7,7,7,7
R_3EQfK0lDnP5cztn,nxAYw9WDEpZEActyW,3,3,2,2,,9,Snacking because I am hungry,4,6,6,6,7,6,2,2,7,7,4,7
R_2DTV8GJM2suuAnk,sRnsZm6AXGfuFXaBL,1,1,3,5,,6,,4,6,3,5,6,6,1,1,1,4,1,6
R_33B8zFgrvzLeo2s,EK5MKqzgwbKp4H3b3,1,1,3,2,,3,,4,7,4,4,7,1,1,2,6,2,2,2
R_1rPK4CP0NDN1MLE,qgdrKE9jGNxfQQS8Z,2,3,2,2,,6,,4,1,1,6,6,1,3,3,5,6,4,7
R_3ltvlxNfj2HRgRo,7WepedTffMwj4827y,1,4,3,5,,3,,4,7,6,7,4,1,4,7,2,7,2,7
R_3OlbJarCb3lEqr6,qXjSPCjisfJ95eEvt,1,2,3,5,,5,,4,7,4,5,7,6,2,1,1,2,1,4
R_2RXh5A068wggE2T,rzgwdpdiJDSxYGZnA,4,3,1,1,,6,,4,7,6,6,7,6,5,7,7,6,2,7
R_2SCSHU0O8Q4qj0s,yQZ2EpSJ96cnxs6xe,1,3,4,2,,6,,4,7,3,7,7,5,6,7,7,7,7,1
R_dpaye8APB8GPTjj,J4zEKsDmhBZRemQxx,2,2,2,2,,5,,4,7,5,6,6,6,4,7,6,6,4,5
R_2rjW7cetYhYi2GV,L4YKzb3s57NWd6NAv,4,2,1,1,,8,,4,7,5,6,3,7,3,4,7,3,4,7
R_1fmhesZ5QCDNrBI,H4f5GuygEFHZk35Nx,2,2,2,5,,3,,4,6,6,6,6,6,6,6,6,6,6,7
R_6Lu9iJBy3i8w0dH,3Scv4Lh7AfesJPwhd,2,3,2,1,,3,,4,7,7,6,7,5,7,7,7,7,5,7
R_1oGbGLXQnuCbG3v,eBK9ZbEMsYZr4qvN5,2,3,2,2,,2,,4,7,6,6,5,6,1,6,7,7,5,6
R_2YP6ESL0A9vdiEF,3JMeDjgsrTwoAgacu,2,2,3,2,,3,,4,7,4,4,2,7,3,1,7,2,3,7
R_2rknRwfbb7MaBsl,KM8aPtzLYKjy9Wd6r,2,2,2,2,,3,,4,7,6,7,6,2,4,3,5,5,6,2
R_1pT1Qtll0XesLCu,BynvkWSwo2taRoXrX,3,3,2,2,,1,,4,7,7,5,6,6,2,3,1,7,1,1
R_265yGcYIfUb8LRq,Wsfum3agWhXQX8CXx,4,4,1,1,,1,,4,4,7,6,7,7,6,6,7,7,7,4
R_2PArswLpVhhFCf8,wLGnCDxPy8oExZXAx,2,3,3,2,,5,,4,2,2,6,6,6,3,3,6,2,3,6
R_331KwvDFAaa1cHf,Zni6Soax4z3GW8Df2,1,1,4,1,,9,I snack mostly out of boredom,4,6,6,2,7,2,2,5,7,5,5,5
R_uelI7mDL8rgY4Fj,Q8rabz9pmuEnvSaoN,3,4,1,1,,1,,4,7,7,7,7,6,6,5,6,7,5,7
R_d7on9dEzUOKmQh7,MXzThn8PokRb4ock5,1,1,2,2,,2,,4,3,6,2,4,5,1,4,7,5,2,7
R_NWpYrWklsATDcNb,XEFQSfMA4Np9cuPw7,3,4,1,2,,9,snacking keeps my hands and mouth busy and helps me focus,4,7,7,5,7,4,1,5,6,6,3,5
R_1n2dSc1Diog58HU,db7vBSrm7682SAdgu,3,4,1,2,,1,,4,6,7,7,7,7,4,6,3,7,2,7
R_2cduzEdfvL7LB7R,qTogdieYhMcvruSAz,1,2,3,3,,4,,4,2,5,7,6,7,1,1,5,4,1,2
R_1o6Fiwn5cqj0oE9,z5RvEc5BoDxBiH3iy,3,2,2,2,,3,,4,7,6,6,6,7,4,5,4,2,2,1
R_1rGOS2fezJZlE4B,kr7Pu2RZwAfTs2CKX,2,5,2,2,,3,,4,7,4,6,5,5,3,3,4,5,2,1
R_1ewW1Yzh6RsfvqW,KhryLZQ5TvoZre7Wq,2,2,3,2,,6,,4,7,2,3,4,4,4,2,4,3,3,1
R_2PzjUUnJN2RK7Lm,ZB5o3tfWNxeqjrk9A,2,2,2,2,,3,,4,5,7,7,5,6,4,5,5,4,2,2
R_2ASyE6ZEXNkiaTy,SPtAAc7NJbzx6HGnv,1,3,3,3,,5,,4,6,5,4,7,2,1,2,6,5,1,7
R_2XbQtTwzgV6rUcI,RiaXcXZD8EMe3D675,2,3,2,1,,3,,4,7,5,7,3,6,2,5,5,4,2,1
R_2txs8EGUZm6SSQ2,WWN5DFC5NTCBf5mzm,3,3,2,1,,7,,4,7,5,6,6,5,1,4,5,5,1,1
R_2YJtbLT2hRYhT4n,cLfpHqBMQyBqJmqZN,2,3,2,1,,8,,4,7,5,7,7,7,2,2,3,7,2,1
R_3PLgvKrM0wPtM5y,RRGteZxa2sZLjy7tF,2,3,2,1,,3,,4,4,4,6,7,7,3,5,7,4,4,3
R_2v2CqtoaK22Nk7i,kErKZoNcgLDEQLh9h,2,4,2,2,,3,,4,7,7,7,7,2,1,4,6,2,2,7
R_0oYZJgh5tgXzeUN,ANpFmJSXtcMZLsKb7,2,2,2,2,,5,,4,7,4,2,7,5,1,4,7,6,1,7
R_2UfsbtfmeSl0wZi,MWawPm7rihwQdSfEc,1,1,3,2,,3,,4,7,2,6,5,1,1,5,6,6,4,1
R_2rw5MjtRBWZr3rN,CpCwPvRPuXbcP6cz2,2,2,3,2,,3,,4,6,5,4,7,3,3,6,6,7,2,7
R_2wFt3fo5ldPmJ0k,wGaSKjvm4o49LhLrg,2,2,3,1,,3,,4,2,5,5,7,7,1,1,6,4,1,6
R_24Ga4fh9g2cPVxm,4KFh6N3nNwuJAz9bM,3,5,1,1,,3,,4,7,6,7,7,7,5,6,7,6,6,7
R_2bGqvwQ2ek8KLaJ,2EXM3D2Y33A7MB3o7,5,5,1,1,,1,,4,2,6,6,6,7,1,2,6,7,2,6
R_12beJOCikCMsS5r,xPohAATJY45H5Nmhy,4,4,1,2,,1,,4,2,6,6,6,7,1,1,7,6,1,1
R_25TrHqgFNs4z3W9,MLNEv85tZLCBBPkBJ,2,1,2,2,,3,,4,7,6,6,7,6,5,7,7,3,4,1
R_1OxdLMZxksCqUjZ,yqvi6AycizdfMW67J,3,3,1,2,,2,,4,5,5,7,7,7,7,7,5,7,7,7
R_2D65hxyxZGBokzi,GBR5Ti7uHcvswPGew,2,4,2,1,,3,,4,7,2,5,7,2,3,4,7,7,7,4
R_1CdO79jrlQWkzI5,2sTmttj6NkHQFsJLd,2,4,3,1,,3,,4,7,2,7,7,7,5,7,4,5,6,1
R_Zy0tTcdsj0Dsb3r,xM423TEd4E3xpgssf,4,4,1,2,,8,,4,2,7,7,6,7,1,4,7,7,2,5
R_1I7byGVP1c2SurW,JJ5EnHryZ8c2oGQCB,3,4,3,2,,3,,4,2,6,7,6,6,1,2,6,1,1,6
R_WlK5Q77mgN5gCBj,n57DFjukqiJmSHEDQ,4,4,1,2,,1,,4,7,6,6,6,7,2,1,7,6,6,2
R_273wkyxpoXdXZP2,DjhvjjCAx4ASj2o8R,2,2,3,2,,3,,4,7,2,5,6,6,4,6,7,4,3,3
R_24Cc9wMIKMc0ICY,zsJhRyaRoAYMth497,2,5,2,2,,3,,4,7,7,6,5,6,1,7,6,3,1,7
R_BKACRX7ULhD1cJP,SJfYbZhnHTBay5yyX,2,3,2,1,,5,,4,4,5,5,7,6,1,2,6,6,5,5
R_1OAXAL2rDyUWgHD,L9LpdeQFGzvFngGYS,1,2,3,1,,6,,4,7,2,6,7,1,1,1,5,4,2,1
R_ABrpmPzG5oM4fRv,qifugRh7PhFJPpCmX,3,5,1,1,,3,,4,6,5,6,6,6,2,2,6,5,3,5
R_2eVdCLRPFHJS61m,cWth44wpGS4qP2Yub,2,3,3,2,,7,,4,4,7,6,5,5,1,1,6,5,3,6
R_1GK3KfoIobQPTKE,uHwSGkE8yothku3Pp,1,5,3,2,,3,,4,7,7,6,7,7,1,2,7,7,1,7
R_3Lin9ZBKR81MIxb,RaYmHiYD8f6gFQQ7b,3,4,2,2,,5,,4,5,5,6,7,5,1,2,6,4,3,4
R_Y5NjoNNjkwGPfDr,cSZYtAZP8JYGj5YJm,2,3,2,2,,3,,4,7,7,7,7,7,2,2,7,7,6,1
R_3M39SppoPAPNmW3,E3NcHz7W573rHYeyY,2,3,3,2,,5,,4,1,7,7,7,7,1,5,7,6,7,7
R_1HUjBrxI92Rud33,KgZMYh23LzaJQn9xQ,4,5,1,2,,1,,4,7,7,7,7,6,1,6,7,7,7,7
R_3R8dmZCymqJE3mE,TRHpDyjtFJ4Bf98dL,1,2,3,3,,5,,4,1,4,5,2,1,3,4,3,2,3,6
R_cTSMhg9AaxTnEU9,XsvK4NT3Nh5wjR8En,2,5,2,2,,9,Need to eat something when I take my medications ,4,7,7,6,7,5,1,1,7,1,4,4
R_21FKglYUdIsDoZz,7Rn59QWiRLMAcySTj,2,3,2,1,,8,,4,7,6,7,5,5,2,2,2,4,2,5
