R_BVMRtobW8073RBL,2/16/16 19:06,2/16/16 19:10,8rkTWSowd8QnKYkrE,8rkTWSowd8QnKYkrE,0,1,,,0,3,,,,,,,0,2,,,0,1,0,2,0,3,,,,,,,,,,,0,1,,,,,,,,,0,3,0,2,,,,,,,0,2,,,,,0,3,0,1,,,0,1,0,2,,,,,,,,,0,3,,,,,
R_1MXq6DhUucGNmmb,2/16/16 21:10,2/16/16 21:11,m3PpL6WcoykRyE6pm,m3PpL6WcoykRyE6pm,0,1,,,,,0,2,,,,,,,0,3,0,2,0,3,,,,,0,1,,,,,,,0,2,0,3,,,,,,,,,0,1,,,0,3,,,,,,,0,2,,,0,1,,,0,3,0,2,,,,,,,,,,,0,1,,,
R_3TMyN5hJQwK0Rpf,2/17/16 11:37,2/17/16 11:38,c7KXKPxqoFftvbiRo,c7KXKPxqoFftvbiRo,0,3,0,1,,,,,,,,,,,0,2,0,2,0,3,,,,,,,,,,,0,1,0,3,0,2,,,,,,,,,,,0,1,0,3,0,1,,,,,,,,,,,0,2,0,3,0,1,,,,,,,,,,,0,2,,,
R_28ChFq8tRBMrPoc,2/17/16 18:21,2/17/16 18:24,nyhJYddWvp3BB3QQw,nyhJYddWvp3BB3QQw,0,3,,,,,,,0,1,,,0,2,,,0,1,0,2,,,,,0,3,,,,,,,0,3,,,,,,,0,2,,,0,1,,,0,3,,,,,,,0,2,,,0,1,,,0,3,,,0,1,,,,,,,0,2,,,,,
R_2CBW1MoMEj2vSLo,2/17/16 20:47,2/17/16 20:49,Go273GW8uicZrCdSD,Go273GW8uicZrCdSD,,,,,0,3,,,,,0,1,0,2,,,0,1,0,2,,,,,,,0,3,,,,,0,3,,,,,,,,,0,1,0,2,,,0,3,,,,,,,,,0,1,0,2,,,0,2,0,3,,,,,,,0,1,,,,,,,
R_u53yXnVdAQIcgzT,2/18/16 0:32,2/18/16 0:33,WxM5cQu2SaeRc9e8S,WxM5cQu2SaeRc9e8S,,,,,,,,,0,1,,,0,2,0,3,,,,,,,,,,,0,2,0,1,0,3,,,,,,,,,,,0,2,0,1,0,3,,,,,,,0,2,,,,,0,1,0,3,0,1,0,2,,,,,,,,,,,0,3,,,
R_1eXDnOCsyZiypdY,2/18/16 10:53,2/18/16 10:55,Yq2tfTdFxrtJJrtiK,Yq2tfTdFxrtJJrtiK,,,0,1,,,0,3,,,,,0,2,,,,,0,2,0,3,0,1,,,,,,,,,,,0,2,,,,,,,,,0,1,0,3,,,0,1,0,2,,,,,,,,,0,3,0,1,0,2,,,0,3,,,,,,,,,,,
R_rfGkXiYyF2ShQI1,2/18/16 11:52,2/18/16 11:54,nn9r35Fnm3dt4Mwac,nn9r35Fnm3dt4Mwac,,,,,0,2,,,0,1,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,,,,,0,2,,,0,1,,,,,0,3,,,,,0,2,,,0,1,,,0,3,,,0,1,0,3,,,,,,,,,,,0,2,,,
R_2coxnYf2b7THgNJ,2/18/16 11:53,2/18/16 11:55,MxvzFzxhex6KtCcJv,MxvzFzxhex6KtCcJv,,,0,1,0,3,,,0,2,,,,,,,0,1,,,,,,,0,3,,,0,2,,,,,,,0,3,,,0,2,,,0,1,,,0,1,,,,,,,0,3,,,0,2,,,0,2,0,1,,,,,,,,,,,0,3,,,
R_Z8KFNXkcZFR8gRb,2/18/16 14:55,2/18/16 14:57,B2ZCZF78M52DaYdRe,B2ZCZF78M52DaYdRe,,,0,2,0,3,,,,,,,0,1,,,,,,,,,,,0,2,,,0,1,0,3,,,,,,,,,0,2,0,3,0,1,,,,,,,0,1,,,0,3,,,0,2,,,0,1,0,2,,,0,3,,,,,,,,,,,
R_qRdRJ5sE2j3DAnn,2/18/16 15:58,2/18/16 16:00,qBC3M3KQn9vNCcPqE,qBC3M3KQn9vNCcPqE,,,0,1,0,2,,,0,3,,,,,,,0,2,,,,,,,0,3,,,0,1,,,,,,,,,0,1,,,0,2,0,3,,,0,3,,,,,,,0,2,,,0,1,,,0,2,,,,,,,,,,,0,3,0,1,,,
R_1nOaLU7eaCXvvyQ,2/18/16 16:16,2/18/16 16:20,q4HPxfuFegecSLdDp,q4HPxfuFegecSLdDp,,,0,1,,,,,0,2,,,0,3,,,0,2,0,3,,,,,,,,,,,0,1,,,,,,,,,0,2,0,3,0,1,,,,,,,,,,,0,1,0,2,0,3,,,,,,,,,,,0,3,0,1,0,2,,,,,
R_2eaR6S0QupzIbu6,2/18/16 17:09,2/18/16 17:12,yZoeMgzGtaMeqaFnP,yZoeMgzGtaMeqaFnP,,,0,3,0,1,,,,,,,0,2,,,0,1,0,3,0,2,,,,,,,,,,,,,0,3,0,1,,,,,,,0,2,,,,,,,0,1,,,,,,,0,2,0,3,0,2,0,1,0,3,,,,,,,,,,,,,
R_2BhbjE6l8LTGwXR,2/18/16 18:08,2/18/16 18:12,R7dYKeoHCd6LvxxqK,R7dYKeoHCd6LvxxqK,,,0,1,0,3,,,,,,,0,2,,,0,1,,,0,2,,,,,,,0,3,,,,,0,1,,,,,0,3,,,0,2,,,,,0,2,,,,,0,3,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,,,
R_OpVv69iy8UhDAZz,2/18/16 19:51,2/18/16 19:53,rwmxw6YBuepteyj3w,rwmxw6YBuepteyj3w,,,,,0,1,,,0,2,,,,,0,3,0,3,0,1,,,,,,,,,,,0,2,,,,,0,1,,,0,3,,,,,0,2,,,,,0,1,,,0,3,,,,,0,2,0,1,,,0,3,,,,,,,,,0,2,,,
R_xozh4BTFWCICOUF,2/18/16 19:55,2/18/16 19:59,2EaSSMTDRTavgzxWY,2EaSSMTDRTavgzxWY,,,,,,,,,0,2,0,3,0,1,,,0,1,,,0,3,,,,,,,0,2,,,,,,,,,,,,,0,2,0,1,0,3,,,,,0,1,,,,,0,3,0,2,,,0,3,,,0,2,,,,,,,0,1,,,,,
R_BMblCwQQLj0HFQd,2/20/16 20:32,2/20/16 20:33,79cjqjh3rhGT85Z35,79cjqjh3rhGT85Z35,,,,,,,,,0,2,0,3,0,1,,,0,3,,,,,,,0,1,,,0,2,,,,,,,,,,,0,2,0,3,0,1,,,,,,,,,,,0,2,0,3,0,1,,,0,1,0,3,0,2,,,,,,,,,,,,,
R_e2nlAgLiHUZ0Bdr,2/21/16 1:18,2/21/16 1:20,wtSLbuDzbcFjvfDEf,wtSLbuDzbcFjvfDEf,,,0,1,,,0,2,,,,,0,3,,,0,1,0,2,0,3,,,,,,,,,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,0,1,0,2,,,0,3,,,,,,,,,,,
R_2wjkf306C7q8P0V,2/21/16 4:32,2/21/16 4:35,tyLjuwcbAbuazEQiG,tyLjuwcbAbuazEQiG,,,,,0,1,,,0,3,0,2,,,,,0,1,0,2,0,3,,,,,,,,,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,,,0,2,0,3,,,0,1,,,0,2,,,,,0,3,,,,,,,
R_2vYyfgeqMvFpQ3U,2/21/16 9:37,2/21/16 9:38,u469QjCESYfQpGHJC,u469QjCESYfQpGHJC,0,1,0,3,,,,,,,,,0,2,,,0,2,0,1,0,3,,,,,,,,,,,0,3,,,0,1,,,,,,,,,0,2,,,,,0,2,,,,,,,0,1,0,3,,,0,2,0,3,,,,,,,0,1,,,,,
R_31gsrcE0dTvmwgK,2/21/16 9:56,2/21/16 9:57,SoKJoq72nqsZeYAav,SoKJoq72nqsZeYAav,0,2,0,1,,,,,,,0,3,,,,,0,2,0,1,,,,,,,0,3,,,,,0,2,0,1,,,,,,,0,3,,,,,0,2,0,1,,,,,,,0,3,,,,,0,2,0,1,,,,,,,0,3,,,,,,,
R_3h0aNyZyn7RfykT,2/21/16 10:55,2/21/16 10:58,EsvySo9AtybDSYAs8,EsvySo9AtybDSYAs8,,,,,0,3,,,,,0,2,0,1,,,0,3,,,,,,,,,0,2,0,1,,,,,0,3,0,2,,,,,,,0,1,,,0,3,,,,,,,,,0,2,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,
R_2rMyrV6fj5Jvfsd,2/22/16 11:56,2/22/16 11:57,JRcAvo7ghDwhDZL84,JRcAvo7ghDwhDZL84,,,,,0,2,,,0,3,,,0,1,,,,,0,2,0,3,,,,,0,1,,,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,
R_pRDJapU7jKOEfYJ,2/22/16 15:36,2/22/16 15:38,MrGZ6mh63fudmqYDf,MrGZ6mh63fudmqYDf,,,0,3,,,0,2,0,1,,,,,,,0,3,,,0,2,0,1,,,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,1,,,,,,,0,2,,,0,3,,,0,3,,,0,2,,,,,,,,,0,1,,,
R_2aelBLP8bOsGfiP,2/23/16 8:50,2/23/16 8:51,Lcmknpky6pFHN3tQu,Lcmknpky6pFHN3tQu,,,0,1,,,,,0,2,,,0,3,,,0,2,0,1,0,3,,,,,,,,,,,,,0,1,0,3,,,,,,,0,2,,,0,2,0,1,0,3,,,,,,,,,,,0,1,0,2,,,,,,,,,0,3,,,,,
R_1IXZT6ZCodzZtxs,2/23/16 14:13,2/23/16 14:16,5bASBojyYxYwsQXxd,5bASBojyYxYwsQXxd,0,1,0,2,,,,,,,,,,,0,3,0,3,0,1,,,,,,,,,,,0,2,,,0,2,,,,,,,,,0,1,0,3,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,,,
R_3CVC6iV1EduVcRU,2/23/16 14:17,2/23/16 14:19,YtSdEqNJzaQeCopij,YtSdEqNJzaQeCopij,,,,,0,3,,,0,2,,,0,1,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,
