uid,uid,V8,V9,Q2_1,Q3_1,Q4_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1
F3ZWcZX7ARkhPJmRW,F3ZWcZX7ARkhPJmRW,2/21/16 18:54,2/21/16 18:55,3,5,5,1,1,2,1,2,4,4,2
79cjqjh3rhGT85Z35,79cjqjh3rhGT85Z35,2/21/16 23:36,2/21/16 23:37,3,4,5,2,2,2,1,1,4,4,1
iNRN7ctrXkwmZQSxt,iNRN7ctrXkwmZQSxt,2/22/16 10:36,2/22/16 10:37,3,4,3,2,2,2,2,2,4,4,2
ufYSbrs2puEYHomhr,ufYSbrs2puEYHomhr,2/22/16 14:17,2/22/16 14:17,5,3,2,4,4,4,3,5,1,3,3
Wxu8k7df9yj4j6573,Wxu8k7df9yj4j6573,2/22/16 20:57,2/22/16 20:58,3,4,4,2,1,1,1,1,5,3,2
EsvySo9AtybDSYAs8,EsvySo9AtybDSYAs8,2/22/16 23:50,2/22/16 23:51,3,5,3,3,2,3,2,2,2,3,2
nyhJYddWvp3BB3QQw,nyhJYddWvp3BB3QQw,2/24/16 4:55,2/24/16 4:56,2,4,5,4,2,2,2,2,3,3,1
qBC3M3KQn9vNCcPqE,qBC3M3KQn9vNCcPqE,2/24/16 18:30,2/24/16 18:32,5,5,5,1,1,2,2,4,2,4,5
no24mX6RndnhrbK2G,no24mX6RndnhrbK2G,2/29/16 8:55,2/29/16 8:56,3,4,4,3,4,2,2,3,2,2,2
MrGZ6mh63fudmqYDf,MrGZ6mh63fudmqYDf,2/29/16 10:10,2/29/16 10:11,5,3,3,2,2,1,1,3,2,2,1
CLtNCJghz2jZqxeK9,CLtNCJghz2jZqxeK9,2/29/16 10:43,2/29/16 10:44,3,2,2,3,4,2,2,4,2,2,2
YiHmJ4qLbxiwyjMFd,YiHmJ4qLbxiwyjMFd,2/29/16 10:50,2/29/16 10:52,2,5,5,2,2,2,2,2,2,4,4
B2ZCZF78M52DaYdRe,B2ZCZF78M52DaYdRe,2/29/16 11:31,2/29/16 11:32,2,5,5,2,1,1,1,1,1,3,3
yZoeMgzGtaMeqaFnP,yZoeMgzGtaMeqaFnP,2/29/16 15:16,2/29/16 15:19,3,5,4,3,2,3,2,3,4,4,2
YGJd65DmqYzQazNgB,YGJd65DmqYzQazNgB,2/29/16 22:14,2/29/16 22:15,4,3,3,2,2,1,2,5,3,1,4
AwhQeCLDxEyvjTy3X,AwhQeCLDxEyvjTy3X,2/29/16 23:00,2/29/16 23:01,3,2,3,2,2,4,2,4,4,4,2
Lcmknpky6pFHN3tQu,Lcmknpky6pFHN3tQu,3/1/16 13:38,3/1/16 13:39,3,2,3,2,2,2,2,2,3,2,2
Bpj4sGSnkFdkCCxNf,Bpj4sGSnkFdkCCxNf,3/1/16 21:30,3/1/16 21:31,3,4,3,2,2,2,3,3,3,2,4
YM8venxunpNq9B2xq,YM8venxunpNq9B2xq,3/1/16 23:05,3/1/16 23:06,5,1,1,4,4,3,2,4,3,3,3
LpifnQpyoAC96S573,LpifnQpyoAC96S573,3/2/16 10:07,3/2/16 10:08,3,5,5,3,2,2,2,3,5,5,2
2HF6FqEczphrX2Bid,2HF6FqEczphrX2Bid,3/2/16 10:25,3/2/16 10:26,3,4,3,2,2,3,2,3,2,2,4
pnco6QuR9SNdHu77x,pnco6QuR9SNdHu77x,3/2/16 10:33,3/2/16 10:34,4,2,2,3,2,2,2,4,5,2,4
AqpMTK8pfa3ZDgCnX,AqpMTK8pfa3ZDgCnX,3/2/16 18:27,3/2/16 18:28,3,3,3,3,3,2,2,3,4,3,2
RMo96PZASrs7J7ShD,RMo96PZASrs7J7ShD,3/3/16 5:56,3/3/16 5:57,3,2,2,3,2,3,3,4,4,4,2
PqWLTxemD9c69esfF,PqWLTxemD9c69esfF,3/3/16 12:47,3/3/16 12:48,3,5,4,3,1,2,2,2,5,4,1
8AFCu9YsQmR2WDkrk,8AFCu9YsQmR2WDkrk,3/3/16 13:34,3/3/16 13:35,2,5,5,2,2,1,1,2,2,4,2
ppT2KoixinaKc9zLD,ppT2KoixinaKc9zLD,3/5/16 6:29,3/5/16 6:29,4,1,1,2,2,2,2,2,2,2,2
zr6MbzW9igA4q3Bpk,zr6MbzW9igA4q3Bpk,3/5/16 23:51,3/5/16 23:53,3,4,3,1,1,2,1,2,2,3,1
XCDm5KKWWLKo82ig8,XCDm5KKWWLKo82ig8,3/6/16 3:59,3/6/16 3:59,2,3,2,3,3,4,3,3,4,3,4
5FeAYE9ht2bBCK8Lk,5FeAYE9ht2bBCK8Lk,3/6/16 4:50,3/6/16 4:51,3,3,3,2,2,2,2,2,3,4,2
K3ZMCWFyEZDHrTyJs,K3ZMCWFyEZDHrTyJs,3/6/16 5:16,3/6/16 5:17,3,3,2,3,3,3,3,4,4,3,2
NLM74X7BawyDFny4v,NLM74X7BawyDFny4v,3/6/16 17:59,3/6/16 17:59,3,4,2,3,3,3,3,4,2,3,2
zBGtTaoT9NXXoiDCo,zBGtTaoT9NXXoiDCo,3/6/16 19:08,3/6/16 19:09,3,3,3,3,3,3,2,2,3,2,4
trErkp8jGhzNAdEsC,trErkp8jGhzNAdEsC,3/6/16 23:09,3/6/16 23:10,3,5,5,1,1,2,2,3,2,3,4
5TdrRvXeviEEB2782,5TdrRvXeviEEB2782,3/7/16 9:42,3/7/16 9:43,3,4,3,3,2,2,2,2,4,4,2
fQW4FvoD7YJtY65Xj,fQW4FvoD7YJtY65Xj,3/7/16 10:34,3/7/16 10:35,2,5,5,1,1,2,2,2,5,4,1
kzsfFDBTiA8Hm5zG8,kzsfFDBTiA8Hm5zG8,3/7/16 11:21,3/7/16 11:22,3,4,5,2,2,2,1,2,2,2,1
J2cummHqPe6hMCzQa,J2cummHqPe6hMCzQa,3/7/16 11:32,3/7/16 11:33,4,5,5,3,3,3,3,3,1,3,3
oD7a6GFkarvp84PRt,oD7a6GFkarvp84PRt,3/7/16 13:34,3/7/16 13:35,2,4,4,2,2,2,2,2,4,4,2
HzyJf3ecpepyFffL9,HzyJf3ecpepyFffL9,3/7/16 14:08,3/7/16 14:09,3,3,3,2,2,2,3,3,2,4,5
ozofPi8aj5tyaT4eg,ozofPi8aj5tyaT4eg,3/7/16 19:26,3/7/16 19:27,3,3,3,3,2,5,1,5,2,5,1
gouSf322Wfbff39Ry,gouSf322Wfbff39Ry,3/8/16 0:27,3/8/16 0:28,1,5,5,2,2,2,2,2,4,3,2
rzgwdpdiJDSxYGZnA,rzgwdpdiJDSxYGZnA,3/8/16 1:37,3/8/16 1:38,2,4,4,2,2,2,2,2,3,2,2
J4zEKsDmhBZRemQxx,J4zEKsDmhBZRemQxx,3/8/16 10:00,3/8/16 10:01,3,5,5,1,1,4,2,4,5,4,2
nxAYw9WDEpZEActyW,nxAYw9WDEpZEActyW,3/8/16 11:57,3/8/16 11:59,2,2,2,5,4,4,4,5,4,4,5
7pCqtPS3WupS8an42,7pCqtPS3WupS8an42,3/8/16 19:06,3/8/16 19:07,3,4,3,2,2,2,2,2,3,4,2
wZbv3M3dFcDzAi36e,wZbv3M3dFcDzAi36e,3/8/16 23:11,3/8/16 23:12,3,5,3,4,2,2,2,2,4,2,2
XEFQSfMA4Np9cuPw7,XEFQSfMA4Np9cuPw7,3/9/16 6:00,3/9/16 6:01,2,2,2,4,4,4,1,4,4,4,3
z5RvEc5BoDxBiH3iy,z5RvEc5BoDxBiH3iy,3/9/16 9:38,3/9/16 9:39,5,5,4,2,2,4,2,4,2,4,2
qXjSPCjisfJ95eEvt,qXjSPCjisfJ95eEvt,3/9/16 9:55,3/9/16 9:57,4,1,1,4,4,2,2,4,2,2,2
zHSLFZ2ThvDD5HYzx,zHSLFZ2ThvDD5HYzx,3/9/16 10:08,3/9/16 10:09,3,5,4,2,2,2,2,3,1,4,2
KhryLZQ5TvoZre7Wq,KhryLZQ5TvoZre7Wq,3/9/16 10:14,3/9/16 10:15,3,3,4,2,2,2,1,4,2,2,5
SPtAAc7NJbzx6HGnv,SPtAAc7NJbzx6HGnv,3/9/16 10:24,3/9/16 10:25,3,5,5,3,2,3,3,4,3,5,1
BynvkWSwo2taRoXrX,BynvkWSwo2taRoXrX,3/9/16 10:25,3/9/16 10:26,3,3,3,4,4,4,2,5,4,4,2
WWN5DFC5NTCBf5mzm,WWN5DFC5NTCBf5mzm,3/9/16 11:20,3/9/16 11:22,2,5,5,1,1,2,1,1,5,2,2
cLfpHqBMQyBqJmqZN,cLfpHqBMQyBqJmqZN,3/9/16 11:46,3/9/16 11:46,3,5,4,2,2,1,2,2,4,2,3
ANpFmJSXtcMZLsKb7,ANpFmJSXtcMZLsKb7,3/9/16 11:53,3/9/16 11:54,3,4,3,2,2,3,2,2,4,3,2
XXfq2mbXgiwoevAzb,XXfq2mbXgiwoevAzb,3/9/16 12:37,3/9/16 12:38,5,5,5,2,2,2,3,2,1,2,2
CpCwPvRPuXbcP6cz2,CpCwPvRPuXbcP6cz2,3/9/16 12:45,3/9/16 12:45,2,3,3,2,3,2,2,3,2,3,4
kErKZoNcgLDEQLh9h,kErKZoNcgLDEQLh9h,3/9/16 12:56,3/9/16 12:57,3,3,3,2,2,4,3,4,2,4,3
RiaXcXZD8EMe3D675,RiaXcXZD8EMe3D675,3/9/16 17:04,3/9/16 17:05,2,2,3,5,5,1,2,2,5,2,1
4KFh6N3nNwuJAz9bM,4KFh6N3nNwuJAz9bM,3/9/16 17:37,3/9/16 17:38,4,5,3,4,4,4,4,4,5,5,2
Zni6Soax4z3GW8Df2,Zni6Soax4z3GW8Df2,3/9/16 18:31,3/9/16 18:31,5,2,2,4,4,2,2,4,2,2,3
RRGteZxa2sZLjy7tF,RRGteZxa2sZLjy7tF,3/9/16 21:20,3/9/16 21:21,3,4,3,2,2,2,2,3,2,3,3
eBK9ZbEMsYZr4qvN5,eBK9ZbEMsYZr4qvN5,3/9/16 22:06,3/9/16 22:08,3,4,3,3,3,3,3,3,5,4,3
GBR5Ti7uHcvswPGew,GBR5Ti7uHcvswPGew,3/9/16 22:58,3/9/16 22:59,2,5,5,1,1,2,1,2,5,4,2
wLGnCDxPy8oExZXAx,wLGnCDxPy8oExZXAx,3/10/16 0:21,3/10/16 0:22,4,5,5,1,1,3,2,4,4,4,2
u469QjCESYfQpGHJC,u469QjCESYfQpGHJC,3/10/16 10:32,3/10/16 10:33,2,2,3,2,2,1,1,1,1,2,1
KM8aPtzLYKjy9Wd6r,KM8aPtzLYKjy9Wd6r,3/10/16 10:42,3/10/16 10:43,4,3,3,3,2,3,2,4,2,4,3
n57DFjukqiJmSHEDQ,n57DFjukqiJmSHEDQ,3/10/16 13:28,3/10/16 13:29,2,3,2,2,2,2,1,2,5,3,1
yqvi6AycizdfMW67J,yqvi6AycizdfMW67J,3/10/16 15:37,3/10/16 15:37,3,3,3,3,3,3,3,3,3,3,3
9ywHQR3mBPMwFxoz9,9ywHQR3mBPMwFxoz9,3/10/16 20:16,3/10/16 20:17,3,4,4,2,2,2,2,2,4,2,1
TYLSC3JKidf2ijqLa,TYLSC3JKidf2ijqLa,3/10/16 23:45,3/10/16 23:48,3,5,4,2,2,4,4,4,2,4,2
SJfYbZhnHTBay5yyX,SJfYbZhnHTBay5yyX,3/11/16 6:00,3/11/16 6:01,2,5,5,2,1,2,2,2,4,4,2
7WepedTffMwj4827y,7WepedTffMwj4827y,3/11/16 8:22,3/11/16 8:23,4,3,2,4,4,4,3,4,2,5,2
L9LpdeQFGzvFngGYS,L9LpdeQFGzvFngGYS,3/11/16 8:44,3/11/16 8:45,3,5,3,2,2,3,2,4,2,4,4
L9LpdeQFGzvFngGYS,L9LpdeQFGzvFngGYS,3/11/16 8:55,3/11/16 8:56,3,4,3,2,2,3,2,4,2,4,4
Af6EwezJnoFReEpua,Af6EwezJnoFReEpua,3/11/16 10:42,3/11/16 10:43,2,1,1,5,5,1,2,5,5,5,2
5eAZsM6sSPgLp2AGc,5eAZsM6sSPgLp2AGc,3/11/16 10:57,3/11/16 11:05,3,3,2,4,3,4,2,4,4,2,3
NvQHkQfCNThsLfjfy,NvQHkQfCNThsLfjfy,3/11/16 11:12,3/11/16 11:13,4,4,4,2,2,2,2,4,2,2,4
ShADd3RgtYRfwa2MZ,ShADd3RgtYRfwa2MZ,3/11/16 11:28,3/11/16 11:29,3,4,3,4,2,4,4,4,5,5,4
BNHYtgF3y6oE5Z7KQ,BNHYtgF3y6oE5Z7KQ,3/11/16 11:35,3/11/16 11:35,3,3,3,2,2,1,1,2,1,2,3
wGaSKjvm4o49LhLrg,wGaSKjvm4o49LhLrg,3/11/16 12:11,3/11/16 12:12,3,3,4,2,2,2,2,2,5,4,2
oWHGBei3dY4SjyLpw,oWHGBei3dY4SjyLpw,3/11/16 12:16,3/11/16 12:17,3,4,3,2,2,2,2,2,3,4,2
XsvK4NT3Nh5wjR8En,XsvK4NT3Nh5wjR8En,3/11/16 12:30,3/11/16 12:31,3,4,3,1,1,2,1,2,4,2,1
DE4yEJwaXQHEzKcQa,DE4yEJwaXQHEzKcQa,3/11/16 12:47,3/11/16 12:47,3,4,3,2,2,2,2,2,4,2,2
bWNtxPkGd8xNqDf2H,bWNtxPkGd8xNqDf2H,3/11/16 12:50,3/11/16 12:51,2,5,4,2,1,2,1,2,4,3,2
5myTGNQJvs2WKRHzh,5myTGNQJvs2WKRHzh,3/11/16 12:57,3/11/16 12:58,2,5,5,1,1,4,3,3,5,2,3
TRHpDyjtFJ4Bf98dL,TRHpDyjtFJ4Bf98dL,3/11/16 13:01,3/11/16 13:02,2,5,5,2,1,2,2,1,3,2,2
5myTGNQJvs2WKRHzh,5myTGNQJvs2WKRHzh,3/11/16 13:08,3/11/16 13:09,2,5,5,1,1,3,3,2,5,2,2
udy3MprwBQ5HiyMCT,udy3MprwBQ5HiyMCT,3/11/16 13:23,3/11/16 13:23,3,5,5,3,3,1,1,2,4,4,3
LcANkd9aNJ5k5m36D,LcANkd9aNJ5k5m36D,3/11/16 14:48,3/11/16 14:48,4,3,2,2,2,4,5,4,5,4,1
pJmeMQeWgG5t6W9qP,pJmeMQeWgG5t6W9qP,3/11/16 16:21,3/11/16 16:22,2,5,5,2,1,1,1,2,5,2,5
btruDZRTdLHpSMw8Z,btruDZRTdLHpSMw8Z,3/11/16 16:37,3/11/16 16:38,2,5,5,1,1,1,1,1,4,2,3
65rkkh9mvCWJswXdW,65rkkh9mvCWJswXdW,3/11/16 17:00,3/11/16 17:00,3,4,3,2,2,2,2,4,3,4,2
eCXK2ArfS3criAJTB,eCXK2ArfS3criAJTB,3/11/16 19:03,3/11/16 19:04,3,5,3,3,3,2,2,4,4,3,2
JYCXAYdtPkWscrdLB,JYCXAYdtPkWscrdLB,3/11/16 19:21,3/11/16 19:22,2,5,5,2,2,2,2,2,2,4,2
e3qn8csAYTbHfMxkK,e3qn8csAYTbHfMxkK,3/11/16 19:34,3/11/16 19:34,3,2,2,3,2,1,2,4,5,2,3
47GQnCY9tKY6QcziM,47GQnCY9tKY6QcziM,3/11/16 19:36,3/11/16 19:37,3,1,1,4,4,1,1,4,4,2,4
sffrXtuXr5TiAB4mp,sffrXtuXr5TiAB4mp,3/11/16 20:09,3/11/16 20:10,3,4,3,3,2,2,2,3,2,2,3
JSbt6gZfMo7joBzGv,JSbt6gZfMo7joBzGv,3/11/16 20:25,3/11/16 20:26,3,3,2,3,2,2,2,4,2,4,4
r7ouGiTYscdMz7S96,r7ouGiTYscdMz7S96,3/11/16 20:34,3/11/16 20:34,5,2,2,4,4,1,2,5,2,1,3
tDQkgwFiLneeqykeP,tDQkgwFiLneeqykeP,3/11/16 21:32,3/11/16 21:33,3,4,3,2,2,3,1,4,3,2,2
uaKgcq3eKvpoHhiRp,uaKgcq3eKvpoHhiRp,3/11/16 21:48,3/11/16 21:48,4,4,4,3,2,3,2,4,4,4,2
DJkv5Fv9S4kWNyB3h,DJkv5Fv9S4kWNyB3h,3/11/16 22:48,3/11/16 22:48,3,5,1,2,2,2,1,4,2,4,2
8LxJGcCiZ4Qc6jQuJ,8LxJGcCiZ4Qc6jQuJ,3/11/16 23:29,3/11/16 23:29,4,2,1,3,4,4,4,4,2,4,2
Qqh6muXhTuf3GrNiT,Qqh6muXhTuf3GrNiT,3/11/16 23:41,3/11/16 23:42,3,4,3,2,2,2,1,2,2,1,2
2uka6dm2y2BiZJ2zv,2uka6dm2y2BiZJ2zv,3/11/16 23:42,3/11/16 23:43,1,5,5,2,2,3,1,3,4,3,2
cSZYtAZP8JYGj5YJm,cSZYtAZP8JYGj5YJm,3/12/16 1:08,3/12/16 1:09,3,4,4,2,2,2,2,3,4,2,2
uSMjBeZWWWbr389eX,uSMjBeZWWWbr389eX,3/12/16 1:26,3/12/16 1:27,2,5,4,2,1,1,1,1,4,2,1
e39vqG226v3BajR5r,e39vqG226v3BajR5r,3/12/16 4:08,3/12/16 4:08,3,3,4,2,2,2,1,4,4,2,4
9ywHQR3mBPMwFxoz9,9ywHQR3mBPMwFxoz9,3/12/16 7:02,3/12/16 7:02,4,3,3,2,2,1,2,4,4,2,2
CBqTRZWRzXAgfN9Yy,CBqTRZWRzXAgfN9Yy,3/12/16 7:58,3/12/16 7:59,4,5,5,2,2,2,2,3,3,4,2
AQxTawn2raLNgqZ3P,AQxTawn2raLNgqZ3P,3/12/16 11:28,3/12/16 11:29,3,5,4,1,1,1,1,4,2,4,3
ZNHoLFfThXn3dxpiE,ZNHoLFfThXn3dxpiE,3/12/16 11:33,3/12/16 11:34,2,5,5,1,1,2,1,3,5,4,1
Ny9gao85Xj9EsukBG,Ny9gao85Xj9EsukBG,3/12/16 11:59,3/12/16 12:00,3,5,5,1,1,2,1,4,5,3,1
veJrsxDb3LXrES4xG,veJrsxDb3LXrES4xG,3/12/16 16:11,3/12/16 16:12,3,2,4,2,1,1,1,2,2,1,1
KtmBDbHyRWmxF3pSe,KtmBDbHyRWmxF3pSe,3/12/16 17:31,3/12/16 17:34,3,5,4,2,2,1,1,2,5,2,3
sXZRJJZZ4ukn5Rhsa,sXZRJJZZ4ukn5Rhsa,3/12/16 18:03,3/12/16 18:04,3,3,2,3,2,3,3,2,2,2,5
P3KQ9YkjZxt4RLM8n,P3KQ9YkjZxt4RLM8n,3/12/16 20:59,3/12/16 21:00,3,4,4,2,2,2,1,2,3,2,3
q7T5qjCJmLKiFDM7B,q7T5qjCJmLKiFDM7B,3/13/16 1:38,3/13/16 1:38,2,5,5,2,3,2,1,2,4,3,3
sRnsZm6AXGfuFXaBL,sRnsZm6AXGfuFXaBL,3/13/16 14:41,3/13/16 14:41,5,1,1,3,5,5,5,5,1,5,1
qSx3DCWftYj2wsCyv,qSx3DCWftYj2wsCyv,3/13/16 19:02,3/13/16 19:02,4,3,3,4,4,2,3,2,3,3,2
Wsfum3agWhXQX8CXx,Wsfum3agWhXQX8CXx,3/14/16 14:18,3/14/16 14:19,2,4,4,2,2,4,2,4,4,4,2
naXyBAkcHQnvmWAq2,naXyBAkcHQnvmWAq2,3/14/16 15:26,3/14/16 15:27,4,3,3,3,3,3,2,3,2,3,3
NEBKBc4v4z22JjHsM,NEBKBc4v4z22JjHsM,3/14/16 21:52,3/14/16 21:52,3,5,5,3,1,4,1,3,4,4,1
XjQr98bXFF7M3ndcy,XjQr98bXFF7M3ndcy,3/15/16 9:34,3/15/16 9:35,3,1,1,4,3,3,3,4,5,3,3
9et3SfHGXPybDEQvA,9et3SfHGXPybDEQvA,3/15/16 14:45,3/15/16 14:45,4,3,3,3,2,2,2,4,1,2,3
MYDbh5c4b3ziMKmbt,MYDbh5c4b3ziMKmbt,3/15/16 18:27,3/15/16 18:28,3,3,3,2,2,2,2,2,2,4,2
YtSdEqNJzaQeCopij,YtSdEqNJzaQeCopij,3/15/16 19:39,3/15/16 19:40,2,5,4,1,2,2,2,2,3,3,2
dC92XDi5WvMMhu33h,dC92XDi5WvMMhu33h,3/16/16 3:38,3/16/16 3:38,4,5,5,2,2,3,3,4,2,4,2
TmShwF9bwp277DCmb,TmShwF9bwp277DCmb,3/16/16 7:50,3/16/16 7:51,3,4,4,2,2,2,1,2,3,2,4
qifugRh7PhFJPpCmX,qifugRh7PhFJPpCmX,3/16/16 11:39,3/16/16 11:40,3,1,1,3,2,4,2,2,2,4,2
DjhvjjCAx4ASj2o8R,DjhvjjCAx4ASj2o8R,3/16/16 18:03,3/16/16 18:04,3,3,3,3,2,2,2,4,2,3,2
L4YKzb3s57NWd6NAv,L4YKzb3s57NWd6NAv,3/17/16 21:10,3/17/16 21:12,3,4,3,2,2,2,2,3,4,3,2
